parent_code,calculation_month,snop_month,fc_kl
706059,2025-05-01,2025-08-01,360.23944453652405
706059,2025-05-01,2025-09-01,191.98177369834966
706059,2025-05-01,2025-10-01,331.9817736983497
706059,2025-04-01,2025-05-01,190.2413421507953
706059,2025-04-01,2025-06-01,340.2413421507953
706059,2025-04-01,2025-07-01,220.23894878262095
706059,2025-04-01,2025-08-01,360.23944453652405
706059,2025-04-01,2025-09-01,190.69562237926442
706088,2026-03-01,2026-04-01,739.9999999999999
706088,2026-03-01,2026-05-01,940.0
706088,2026-03-01,2026-06-01,830.0
706088,2026-03-01,2026-07-01,450.0
706088,2026-03-01,2026-08-01,850.0
706088,2026-02-01,2026-04-01,780.0
706088,2026-02-01,2026-05-01,1000.0
706088,2026-02-01,2026-06-01,850.0
706088,2026-02-01,2026-07-01,520.0
706088,2026-02-01,2027-03-01,970.0
706088,2026-01-01,2026-04-01,779.998982448
706088,2026-01-01,2026-05-01,999.998982448
706088,2026-01-01,2026-06-01,849.998982448
706088,2026-01-01,2027-02-01,709.998982448
706088,2026-01-01,2027-03-01,899.9989824481
706088,2025-12-01,2025-04-01,719.998982448
706088,2025-12-01,2025-05-01,939.998982448
706088,2025-12-01,2026-01-01,699.998982448
706088,2025-12-01,2026-02-01,709.998982448
706088,2025-12-01,2026-03-01,899.998982448
706088,2025-11-01,2025-04-01,749.998982448
706088,2025-11-01,2025-12-01,814.99830408
706088,2025-11-01,2026-01-01,699.998982448
706088,2025-11-01,2026-02-01,709.998982448
706088,2025-11-01,2026-03-01,899.998982448
706088,2025-10-01,2025-11-01,700.0536711999998
706088,2025-10-01,2025-12-01,815.04830408
706088,2025-10-01,2026-01-01,590.028982448
706088,2025-10-01,2026-02-01,660.028982448
706088,2025-10-01,2026-03-01,940.028982448
706088,2025-09-01,2025-10-01,475.04879200000005
706088,2025-09-01,2025-11-01,675.0536712
706088,2025-09-01,2025-12-01,815.04830408
706088,2025-09-01,2026-01-01,590.028982448
706088,2025-09-01,2026-02-01,660.028982448
706088,2025-08-01,2025-09-01,947.0
706088,2025-08-01,2025-10-01,575.0
706088,2025-08-01,2025-11-01,750.0
706088,2025-08-01,2025-12-01,775.0
706088,2025-08-01,2026-01-01,590.0
706088,2025-07-01,2025-08-01,799.998
706088,2025-07-01,2025-09-01,920.0
706088,2025-07-01,2025-10-01,575.0
706088,2025-07-01,2025-11-01,750.0
706088,2025-07-01,2025-12-01,775.0
706088,2025-06-01,2025-07-01,750.0
706088,2025-06-01,2025-08-01,830.0
706088,2025-06-01,2025-09-01,875.0
706088,2025-06-01,2025-10-01,575.0
706088,2025-06-01,2025-11-01,775.0
706088,2025-05-01,2025-06-01,790.0
706088,2025-05-01,2025-07-01,700.0
706088,2025-05-01,2025-08-01,830.0
706088,2025-05-01,2025-09-01,875.0
706088,2025-05-01,2025-10-01,575.0
706088,2025-04-01,2025-05-01,1000.0
706088,2025-04-01,2025-06-01,790.0
706088,2025-04-01,2025-07-01,660.0
706088,2025-04-01,2025-08-01,875.0
706088,2025-04-01,2025-09-01,780.0
706090,2026-03-01,2026-04-01,190.0
706090,2026-03-01,2026-05-01,250.0
706090,2026-03-01,2026-06-01,220.0
706090,2026-03-01,2026-07-01,145.0
706090,2026-03-01,2026-08-01,180.0
706090,2026-02-01,2026-04-01,220.0
706090,2026-02-01,2026-05-01,234.2
706090,2026-02-01,2026-06-01,240.0
706090,2026-02-01,2026-07-01,150.0
706090,2026-02-01,2027-03-01,287.09
706090,2026-01-01,2026-04-01,242.997457056
706090,2026-01-01,2026-05-01,244.22
706090,2026-01-01,2026-06-01,247.0
706090,2026-01-01,2027-02-01,210.46093330532398
706090,2026-01-01,2027-03-01,285.310933305324
706090,2025-12-01,2025-04-01,220.460933305324
706090,2025-12-01,2025-05-01,230.12
706090,2025-12-01,2026-01-01,190.56267199420003
706090,2025-12-01,2026-02-01,210.460933305324
706090,2025-12-01,2026-03-01,285.310933305324
706090,2025-11-01,2025-04-01,210.460933305324
706090,2025-11-01,2025-12-01,211.02973665700014
706090,2025-11-01,2026-01-01,190.5626719942
706090,2025-11-01,2026-02-01,210.460933305324
706090,2025-11-01,2026-03-01,300.46093330532403
706090,2025-10-01,2025-11-01,261.10401573
706090,2025-10-01,2025-12-01,200.98778665700002
706090,2025-10-01,2026-01-01,180.5926719942
706090,2025-10-01,2026-02-01,210.490933305324
706090,2025-10-01,2026-03-01,240.490933305324
706090,2025-09-01,2025-10-01,180.9977643
706090,2025-09-01,2025-11-01,236.04669433
706090,2025-09-01,2025-12-01,200.98778665700002
706090,2025-09-01,2026-01-01,180.5926719942
706090,2025-09-01,2026-02-01,210.490933305324
706090,2025-08-01,2025-09-01,230.79295025
706090,2025-08-01,2025-10-01,215.9515403
706090,2025-08-01,2025-11-01,206.04669433
706090,2025-08-01,2025-12-01,230.9515403
706090,2025-08-01,2026-01-01,180.9515403
706090,2025-07-01,2025-08-01,275.741075
706090,2025-07-01,2025-09-01,230.79295025
706090,2025-07-01,2025-10-01,215.9515403
706090,2025-07-01,2025-11-01,206.04669433
706090,2025-07-01,2025-12-01,230.9515403
706090,2025-06-01,2025-07-01,225.7737
706090,2025-06-01,2025-08-01,210.741075
706090,2025-06-01,2025-09-01,230.79295025
706090,2025-06-01,2025-10-01,215.9515403
706090,2025-06-01,2025-11-01,206.04669433
706090,2025-05-01,2025-06-01,210.7302
706090,2025-05-01,2025-07-01,225.7737
706090,2025-05-01,2025-08-01,210.741075
706090,2025-05-01,2025-09-01,230.83741475
706090,2025-05-01,2025-10-01,215.741075
706090,2025-04-01,2025-05-01,300.8172
706090,2025-04-01,2025-06-01,210.7302
706090,2025-04-01,2025-07-01,225.7737
