calculation_month,snop_month,parent_code,parent_description,qty,source
2025-04,2025-09,703584,PCNO ADV 300ml FT,0.000549667,ml
2025-04,2025-09,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-05,2025-09,703584,PCNO ADV 300ml FT,0.0,ml
2025-05,2025-09,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-06,2025-09,703584,PCNO ADV 300ml FT,0.0,ml
2025-06,2025-09,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-07,2025-09,703584,PCNO ADV 300ml FT,0.0,ml
2025-07,2025-09,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-08,2025-09,703584,PCNO ADV 300ml FT,0.0,ml
2025-08,2025-09,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-05,2025-10,703584,PCNO ADV 300ml FT,0.0,ml
2025-05,2025-10,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-06,2025-10,703584,PCNO ADV 300ml FT,0.0,ml
2025-06,2025-10,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-07,2025-10,703584,PCNO ADV 300ml FT,0.0,ml
2025-07,2025-10,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-08,2025-10,703584,PCNO ADV 300ml FT,0.0,ml
2025-08,2025-10,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-09,2025-10,703584,PCNO ADV 300ml FT,0.0,ml
2025-09,2025-10,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-06,2025-11,703584,PCNO ADV 300ml FT,0.0,ml
2025-06,2025-11,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-07,2025-11,703584,PCNO ADV 300ml FT,0.0,ml
2025-07,2025-11,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-08,2025-11,703584,PCNO ADV 300ml FT,0.0,ml
2025-08,2025-11,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-09,2025-11,703584,PCNO ADV 300ml FT,0.0,ml
2025-09,2025-11,703584,PCNO ADV 300ml FT,2.2,tm
2025-10,2025-11,703584,PCNO ADV 300ml FT,0.0,ml
2025-10,2025-11,703584,PCNO ADV 300ml FT,2.2,tm
2025-07,2025-12,703584,PCNO ADV 300ml FT,0.0,ml
2025-07,2025-12,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-08,2025-12,703584,PCNO ADV 300ml FT,0.0,ml
2025-08,2025-12,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-09,2025-12,703584,PCNO ADV 300ml FT,0.0,ml
2025-09,2025-12,703584,PCNO ADV 300ml FT,2.2,tm
2025-10,2025-12,703584,PCNO ADV 300ml FT,0.0,ml
2025-10,2025-12,703584,PCNO ADV 300ml FT,2.2,tm
2025-11,2025-12,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-11,2025-12,703584,PCNO ADV 300ml FT,2.2,tm
2025-08,2026-01,703584,PCNO ADV 300ml FT,0.0,ml
2025-08,2026-01,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-09,2026-01,703584,PCNO ADV 300ml FT,0.0,ml
2025-09,2026-01,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-10,2026-01,703584,PCNO ADV 300ml FT,0.0,ml
2025-10,2026-01,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-11,2026-01,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-11,2026-01,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-12,2026-01,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-12,2026-01,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-09,2026-02,703584,PCNO ADV 300ml FT,0.0,ml
